example_id                                             | status  | run_time        |
./spec/models/travel_spec.rb[1:1:8]                    | passed  | 0.03335 seconds |
./spec/models/travel_spec.rb[1:2:1]                    | passed  | 0.01276 seconds |
./spec/models/travel_spec.rb[1:2:2]                    | passed  | 0.30873 seconds |
./spec/models/travel_spec.rb[1:2:3]                    | passed  | 0.00633 seconds |
./spec/models/travel_spec.rb[1:2:4:1]                  | passed  | 0.04258 seconds |
./spec/models/travel_spec.rb[1:3:1:1]                  | passed  | 0.14483 seconds |
./spec/models/travel_spec.rb[1:3:2:1]                  | passed  | 0.25252 seconds |
./spec/models/travel_spec.rb[1:4:1]                    | passed  | 0.13553 seconds |
./spec/models/user_spec.rb[1:1:1]                      | passed  | 0.08375 seconds |
./spec/models/user_spec.rb[1:1:2]                      | passed  | 0.02265 seconds |
./spec/models/user_spec.rb[1:1:3]                      | passed  | 0.02513 seconds |
./spec/models/user_spec.rb[1:1:4]                      | passed  | 0.01471 seconds |
./spec/models/user_spec.rb[1:1:5]                      | passed  | 0.03499 seconds |
./spec/models/user_spec.rb[1:1:6]                      | passed  | 0.01317 seconds |
./spec/models/user_spec.rb[1:1:7]                      | passed  | 0.00569 seconds |
./spec/models/user_spec.rb[1:1:8]                      | passed  | 0.01576 seconds |
./spec/models/user_spec.rb[1:2:1]                      | passed  | 0.32959 seconds |
./spec/models/user_spec.rb[1:2:2]                      | passed  | 0.17418 seconds |
./spec/models/user_spec.rb[1:2:3]                      | passed  | 0.26085 seconds |
./spec/models/user_spec.rb[1:2:4]                      | passed  | 0.01612 seconds |
./spec/models/user_spec.rb[1:2:5]                      | passed  | 0.01474 seconds |
./spec/models/user_spec.rb[1:2:6]                      | passed  | 0.03714 seconds |
./spec/models/user_spec.rb[1:2:7]                      | passed  | 0.02525 seconds |
./spec/models/user_spec.rb[1:2:8]                      | passed  | 0.01632 seconds |
./spec/models/user_spec.rb[1:2:9]                      | passed  | 0.00682 seconds |
./spec/models/user_spec.rb[1:2:10]                     | passed  | 0.02022 seconds |
./spec/models/user_spec.rb[1:2:11]                     | passed  | 0.00914 seconds |
./spec/models/user_spec.rb[1:3:1:1]                    | passed  | 0.40622 seconds |
./spec/models/user_spec.rb[1:3:2:1]                    | passed  | 0.32163 seconds |
./spec/models/user_spec.rb[1:4:1:1]                    | passed  | 0.24652 seconds |
./spec/models/user_spec.rb[1:4:2:1]                    | passed  | 0.4 seconds     |
./spec/models/user_spec.rb[1:5:1]                      | passed  | 0.30571 seconds |
./spec/system/friendship_management_spec.rb[1:1:1]     | passed  | 1.26 seconds    |
./spec/system/friendship_management_spec.rb[1:1:2]     | passed  | 0.48373 seconds |
./spec/system/friendship_management_spec.rb[1:1:3]     | passed  | 0.42383 seconds |
./spec/system/friendship_management_spec.rb[1:2:1:1]   | passed  | 0.41706 seconds |
./spec/system/friendship_management_spec.rb[1:2:1:2]   | passed  | 0.46557 seconds |
./spec/system/friendship_management_spec.rb[1:2:1:3]   | passed  | 0.585 seconds   |
./spec/system/friendship_management_spec.rb[1:2:2:1]   | passed  | 0.50419 seconds |
./spec/system/notifications_spec.rb[1:1:1:1]           | passed  | 1.25 seconds    |
./spec/system/notifications_spec.rb[1:1:2:1]           | passed  | 0.44407 seconds |
./spec/system/notifications_spec.rb[1:1:2:2]           | passed  | 0.7221 seconds  |
./spec/system/notifications_spec.rb[1:2:1]             | passed  | 0.59022 seconds |
./spec/system/packing_list_management_spec.rb[1:1:1]   | passed  | 0.33731 seconds |
./spec/system/packing_list_management_spec.rb[1:1:2:1] | passed  | 0.44695 seconds |
./spec/system/packing_list_management_spec.rb[1:2:1]   | passed  | 1.24 seconds    |
./spec/system/packing_list_management_spec.rb[1:3:1]   | passed  | 0.54436 seconds |
./spec/system/packing_list_management_spec.rb[1:4:1]   | passed  | 0.52697 seconds |
./spec/system/photos_management_spec.rb[1:1:1]         | passed  | 0.45071 seconds |
./spec/system/photos_management_spec.rb[1:1:2:1]       | passed  | 0.5392 seconds  |
./spec/system/photos_management_spec.rb[1:2:1]         | passed  | 1.15 seconds    |
./spec/system/photos_management_spec.rb[1:3:1]         | passed  | 0.45874 seconds |
./spec/system/travel_itinerary_spec.rb[1:1:1]          | passed  | 0.6046 seconds  |
./spec/system/travel_itinerary_spec.rb[1:2:1]          | passed  | 0.56061 seconds |
./spec/system/travel_itinerary_spec.rb[1:3:1]          | passed  | 0.42661 seconds |
./spec/system/travel_itinerary_spec.rb[1:3:2]          | passed  | 0.53315 seconds |
./spec/system/travel_itinerary_spec.rb[1:3:3]          | passed  | 1.12 seconds    |
./spec/system/travel_itinerary_spec.rb[1:4:1:1]        | passed  | 1.82 seconds    |
./spec/system/travel_itinerary_spec.rb[1:4:2:1]        | passed  | 0.56162 seconds |
./spec/system/travel_management_spec.rb[1:1:1]         | passed  | 0.41745 seconds |
./spec/system/travel_management_spec.rb[1:1:2]         | passed  | 1.17 seconds    |
./spec/system/travel_management_spec.rb[1:2:1]         | passed  | 0.56312 seconds |
./spec/system/travel_management_spec.rb[1:3:1]         | passed  | 0.42129 seconds |
./spec/system/travel_management_spec.rb[1:3:2]         | passed  | 0.66173 seconds |
./spec/system/travel_management_spec.rb[1:4:1]         | passed  | 0.72888 seconds |
./spec/system/travel_management_spec.rb[1:5:1]         | passed  | 1.67 seconds    |
./spec/system/user_authentication_spec.rb[1:1:1]       | passed  | 0.25968 seconds |
./spec/system/user_authentication_spec.rb[1:1:2]       | passed  | 0.177 seconds   |
./spec/system/user_authentication_spec.rb[1:2:1]       | passed  | 0.35391 seconds |
./spec/system/user_authentication_spec.rb[1:2:2]       | passed  | 0.34189 seconds |
./spec/system/user_authentication_spec.rb[1:3:1]       | passed  | 0.4169 seconds  |
./spec/system/user_authentication_spec.rb[1:4:1]       | passed  | 1.23 seconds    |
